NOME,IDADE,ALTURA,POSIÇÃO,FAIXA ETÁRIA,PAÍS
Carol Gattaz,41,1.92,Meio De Rede,Veterana,Brasil
Júlia Kudiess,19,1.92,Meio De Rede,Novata,Brasil
Carol,31,1.83,Meio De Rede,Experiente,Brasil
Pri Daroit,34,1.84,Ponteira,Veterana,Brasil
Nyeme,23,1.75,Líbero,Novata,Brasil
Rosamaria,28,1.85,Ponteira,Experiente,Brasil
Macris,33,1.78,Levantadora,Experiente,Brasil
Roberta,32,1.85,Levantadora,Experiente,Brasil
Gabi,28,1.8,Ponteira,Experiente,Brasil
Natinha,25,1.65,Líbero,Novata,Brasil
Lorena,23,1.9,Meio De Rede,Novata,Brasil
Kisy,22,1.91,Oposto,Novata,Brasil
Tainara,22,1.9,Ponteira,Novata,Brasil
Lorenne,26,1.87,Oposto,Experiente,Brasil
